Time;Energy (kWh);Temperature
1.1.2020 00:00;0,73;-3,4
1.1.2020 01:00;1,55;-2,5
1.1.2020 02:00;1,15;-4,1
1.1.2020 03:00;2,10;-2,7
1.1.2020 04:00;1,65;-4,5
1.1.2020 05:00;1,63;-6,7
1.1.2020 06:00;2,31;-7,1
1.1.2020 07:00;1,92;-6,2
1.1.2020 08:00;2,17;-6,2
1.1.2020 09:00;3,96;-5,4
1.1.2020 10:00;3,06;-3,7
1.1.2020 11:00;0,82;-4,1
1.1.2020 12:00;2,16;-3,1
1.1.2020 13:00;0,73;-1,9
1.1.2020 14:00;1,43;-1,4
1.1.2020 15:00;1,54;-0,7
1.1.2020 16:00;2,30;0,0
1.1.2020 17:00;1,07;0,2
1.1.2020 18:00;1,94;1,8
1.1.2020 19:00;1,52;2,8
1.1.2020 20:00;1,37;3,2
1.1.2020 21:00;0,76;4,0
1.1.2020 22:00;0,67;4,8
1.1.2020 23:00;0,59;4,9
2.1.2020 00:00;1,30;5,2
2.1.2020 01:00;0,61;5,1
2.1.2020 02:00;0,46;4,5
2.1.2020 03:00;0,42;4,2
2.1.2020 04:00;0,77;4,0
2.1.2020 05:00;1,83;4,6
2.1.2020 06:00;0,72;4,6
2.1.2020 07:00;0,76;4,6
2.1.2020 08:00;2,44;4,7
2.1.2020 09:00;0,77;4,5
2.1.2020 10:00;0,81;4,5
2.1.2020 11:00;2,37;4,6
2.1.2020 12:00;0,81;3,2
2.1.2020 13:00;2,11;3,0
2.1.2020 14:00;1,54;3,5
2.1.2020 15:00;0,92;3,2
2.1.2020 16:00;2,53;3,7
2.1.2020 17:00;0,99;3,6
2.1.2020 18:00;1,87;5,2
2.1.2020 19:00;3,95;4,8
2.1.2020 20:00;1,17;4,5
2.1.2020 21:00;1,05;4,4
2.1.2020 22:00;2,05;4,8
2.1.2020 23:00;0,32;4,6
3.1.2020 00:00;2,05;3,6
3.1.2020 01:00;0,57;3,9
3.1.2020 02:00;0,35;3,9
3.1.2020 03:00;0,52;3,6
3.1.2020 04:00;2,05;3,3
3.1.2020 05:00;0,57;3,4
3.1.2020 06:00;0,29;4,3
3.1.2020 07:00;2,94;4,3
3.1.2020 08:00;1,33;4,2
3.1.2020 09:00;1,15;4,6
3.1.2020 10:00;1,93;4,5
3.1.2020 11:00;2,06;4,8
3.1.2020 12:00;0,57;5,0
3.1.2020 13:00;0,73;4,7
3.1.2020 14:00;2,44;4,3
3.1.2020 15:00;0,73;4,2
3.1.2020 16:00;1,30;4,1
3.1.2020 17:00;2,42;3,9
3.1.2020 18:00;1,10;2,4
3.1.2020 19:00;2,70;1,7
3.1.2020 20:00;1,14;1,3
3.1.2020 21:00;1,85;0,7
3.1.2020 22:00;1,29;0,6
3.1.2020 23:00;1,09;0,5
4.1.2020 00:00;1,90;-0,1
4.1.2020 01:00;0,66;-0,6
4.1.2020 02:00;1,93;-1,9
4.1.2020 03:00;0,66;-1,8
4.1.2020 04:00;2,12;-1,8
4.1.2020 05:00;0,42;-2,0
4.1.2020 06:00;2,05;-1,8
4.1.2020 07:00;0,75;-1,2
4.1.2020 08:00;2,92;-1,3
4.1.2020 09:00;2,88;-1,4
4.1.2020 10:00;2,47;-1,7
4.1.2020 11:00;3,55;-1,6
4.1.2020 12:00;1,37;-1,9
4.1.2020 13:00;4,48;-2,6
4.1.2020 14:00;2,59;-3,8
4.1.2020 15:00;4,22;-4,5
4.1.2020 16:00;2,30;-4,0
4.1.2020 17:00;3,42;-3,3
4.1.2020 18:00;7,21;-1,7
4.1.2020 19:00;5,23;-1,5
4.1.2020 20:00;4,94;-2,5
4.1.2020 21:00;0,69;-3,5
4.1.2020 22:00;0,63;-2,9
4.1.2020 23:00;0,82;-2,2
5.1.2020 00:00;1,83;-2,7
5.1.2020 01:00;0,43;-3,7
5.1.2020 02:00;2,00;-4,8
5.1.2020 03:00;1,28;-5,7
5.1.2020 04:00;1,46;-6,0
5.1.2020 05:00;2,35;-8,4
5.1.2020 06:00;1,86;-10,0
5.1.2020 07:00;1,72;-11,2
5.1.2020 08:00;2,72;-10,8
5.1.2020 09:00;4,08;-10,4
5.1.2020 10:00;2,36;-10,2
5.1.2020 11:00;4,14;-9,9
5.1.2020 12:00;1,77;-9,0
5.1.2020 13:00;1,99;-8,8
5.1.2020 14:00;4,39;-7,8
5.1.2020 15:00;3,09;-6,3
5.1.2020 16:00;2,37;-7,0
5.1.2020 17:00;1,57;-7,0
5.1.2020 18:00;1,74;-6,0
5.1.2020 19:00;2,86;-5,4
5.1.2020 20:00;0,74;-5,2
5.1.2020 21:00;0,73;-5,0
5.1.2020 22:00;2,07;-4,6
5.1.2020 23:00;0,61;-3,8
6.1.2020 00:00;1,15;-3,2
6.1.2020 01:00;1,53;-3,0
6.1.2020 02:00;0,61;-2,7
6.1.2020 03:00;1,93;-2,2
6.1.2020 04:00;0,62;-1,9
6.1.2020 05:00;0,63;-1,4
6.1.2020 06:00;1,91;-0,7
6.1.2020 07:00;0,80;0,0
6.1.2020 08:00;1,13;0,0
6.1.2020 09:00;2,75;0,2
6.1.2020 10:00;3,80;0,3
6.1.2020 11:00;1,45;0,3
6.1.2020 12:00;1,71;0,4
6.1.2020 13:00;2,56;-0,7
6.1.2020 14:00;1,78;-1,6
6.1.2020 15:00;1,79;-1,5
6.1.2020 16:00;2,58;-1,0
6.1.2020 17:00;1,35;-0,9
6.1.2020 18:00;6,27;-1,6
6.1.2020 19:00;6,51;-1,7
6.1.2020 20:00;3,04;-1,2
6.1.2020 21:00;0,74;-0,7
6.1.2020 22:00;0,60;0,4
6.1.2020 23:00;0,41;0,6
7.1.2020 00:00;1,74;0,8
7.1.2020 01:00;0,69;0,7
7.1.2020 02:00;0,58;0,8
7.1.2020 03:00;0,58;0,7
7.1.2020 04:00;1,97;0,8
7.1.2020 05:00;0,63;0,9
7.1.2020 06:00;0,37;1,0
7.1.2020 07:00;2,11;0,9
7.1.2020 08:00;0,85;1,0
7.1.2020 09:00;1,09;1,0
7.1.2020 10:00;2,40;1,4
7.1.2020 11:00;1,17;1,4
7.1.2020 12:00;0,84;1,7
7.1.2020 13:00;1,83;2,2
7.1.2020 14:00;1,79;2,4
7.1.2020 15:00;1,14;3,3
7.1.2020 16:00;0,67;2,9
7.1.2020 17:00;3,07;2,1
7.1.2020 18:00;1,21;1,5
7.1.2020 19:00;1,17;1,4
7.1.2020 20:00;2,04;1,2
7.1.2020 21:00;0,67;1,5
7.1.2020 22:00;0,58;1,3
7.1.2020 23:00;2,09;1,3
8.1.2020 00:00;0,32;1,4
8.1.2020 01:00;0,57;2,2
8.1.2020 02:00;1,97;2,4
8.1.2020 03:00;0,30;2,8
8.1.2020 04:00;0,55;2,8
8.1.2020 05:00;1,70;2,5
8.1.2020 06:00;1,06;2,5
8.1.2020 07:00;0,55;2,4
8.1.2020 08:00;2,59;2,5
8.1.2020 09:00;0,57;2,7
8.1.2020 10:00;0,30;2,5
8.1.2020 11:00;1,23;2,6
8.1.2020 12:00;1,70;2,8
8.1.2020 13:00;1,57;3,7
8.1.2020 14:00;3,04;3,7
8.1.2020 15:00;2,04;3,3
8.1.2020 16:00;1,09;3,4
8.1.2020 17:00;7,30;3,2
8.1.2020 18:00;6,09;3,8
8.1.2020 19:00;5,58;3,3
8.1.2020 20:00;1,83;3,1
8.1.2020 21:00;0,75;3,0
8.1.2020 22:00;1,11;2,8
8.1.2020 23:00;2,58;2,7
9.1.2020 00:00;0,36;2,7
9.1.2020 01:00;0,58;2,9
9.1.2020 02:00;1,46;2,3
9.1.2020 03:00;0,81;2,3
9.1.2020 04:00;0,57;2,1
9.1.2020 05:00;1,92;2,0
9.1.2020 06:00;1,09;2,0
9.1.2020 07:00;0,56;1,6
9.1.2020 08:00;3,19;1,6
9.1.2020 09:00;1,19;2,0
9.1.2020 10:00;3,12;2,6
9.1.2020 11:00;2,23;2,7
9.1.2020 12:00;1,09;2,7
9.1.2020 13:00;1,42;2,3
9.1.2020 14:00;2,32;2,2
9.1.2020 15:00;0,93;1,9
9.1.2020 16:00;0,34;1,9
9.1.2020 17:00;3,31;1,2
9.1.2020 18:00;1,23;1,1
9.1.2020 19:00;3,96;1,4
9.1.2020 20:00;2,31;1,1
9.1.2020 21:00;0,75;1,0
9.1.2020 22:00;2,07;0,5
9.1.2020 23:00;0,58;0,8
10.1.2020 00:00;1,36;0,5
10.1.2020 01:00;1,13;0,9
10.1.2020 02:00;0,58;1,0
10.1.2020 03:00;2,07;0,7
10.1.2020 04:00;0,44;0,2
10.1.2020 05:00;2,18;-1,1
10.1.2020 06:00;0,63;-1,7
10.1.2020 07:00;2,25;-3,4
10.1.2020 08:00;1,17;-2,0
10.1.2020 09:00;3,34;-2,1
10.1.2020 10:00;1,60;-1,2
10.1.2020 11:00;1,95;-1,2
10.1.2020 12:00;1,34;-1,5
10.1.2020 13:00;1,16;-0,9
10.1.2020 14:00;1,98;-1,2
10.1.2020 15:00;0,89;-2,9
10.1.2020 16:00;3,88;-3,4
10.1.2020 17:00;1,72;-4,5
10.1.2020 18:00;2,07;-3,0
10.1.2020 19:00;1,65;-3,2
10.1.2020 20:00;2,42;-2,8
10.1.2020 21:00;0,78;-3,9
10.1.2020 22:00;2,18;-4,7
10.1.2020 23:00;0,59;-4,7
11.1.2020 00:00;2,18;-3,8
11.1.2020 01:00;0,39;-4,6
11.1.2020 02:00;2,20;-3,9
11.1.2020 03:00;0,58;-5,0
11.1.2020 04:00;2,26;-6,4
11.1.2020 05:00;0,93;-6,5
11.1.2020 06:00;2,04;-6,8
11.1.2020 07:00;1,60;-6,0
11.1.2020 08:00;1,22;-5,8
11.1.2020 09:00;1,78;-4,1
11.1.2020 10:00;1,06;-4,2
11.1.2020 11:00;1,32;-3,3
11.1.2020 12:00;1,75;-3,1
11.1.2020 13:00;0,73;-2,8
11.1.2020 14:00;2,30;-2,4
11.1.2020 15:00;0,78;-2,0
11.1.2020 16:00;1,34;-1,2
11.1.2020 17:00;2,10;-0,6
11.1.2020 18:00;8,47;0,1
11.1.2020 19:00;7,96;0,4
11.1.2020 20:00;2,66;0,0
11.1.2020 21:00;0,66;0,1
11.1.2020 22:00;0,37;0,1
11.1.2020 23:00;0,59;0,6
12.1.2020 00:00;0,58;1,5
12.1.2020 01:00;2,02;2,3
12.1.2020 02:00;0,57;2,4
12.1.2020 03:00;0,57;2,7
12.1.2020 04:00;0,46;2,8
12.1.2020 05:00;1,77;2,8
12.1.2020 06:00;0,63;3,5
12.1.2020 07:00;0,78;2,9
12.1.2020 08:00;1,72;2,9
12.1.2020 09:00;1,50;3,3
12.1.2020 10:00;1,02;3,7
12.1.2020 11:00;2,44;3,7
12.1.2020 12:00;1,13;3,2
12.1.2020 13:00;0,77;3,7
12.1.2020 14:00;2,17;2,3
12.1.2020 15:00;0,86;2,0
12.1.2020 16:00;1,85;1,4
12.1.2020 17:00;2,74;1,5
12.1.2020 18:00;1,82;1,6
12.1.2020 19:00;3,33;1,5
12.1.2020 20:00;0,83;0,9
12.1.2020 21:00;1,01;0,4
12.1.2020 22:00;2,35;0,0
12.1.2020 23:00;0,59;0,0
13.1.2020 00:00;2,08;-0,7
13.1.2020 01:00;0,59;-1,3
13.1.2020 02:00;1,84;-1,5
13.1.2020 03:00;0,58;-1,9
13.1.2020 04:00;1,99;-1,9
13.1.2020 05:00;0,67;-2,7
13.1.2020 06:00;1,24;-0,4
13.1.2020 07:00;1,26;-0,6
13.1.2020 08:00;2,04;-1,5
13.1.2020 09:00;2,57;-1,8
13.1.2020 10:00;2,47;-3,0
13.1.2020 11:00;3,50;-2,5
